ÎïÆ·×¢²áÃû,ÎïÆ·Ãû,ÀàĞÍ,±¥Ê³¶È(¼¦ÍÈ),±¥ºÍ¶È(½ğ¼¦ÍÈ),¶îÍâĞ§¹û,±¸×¢
candycraftce:candied_cherry,ÃÛ½¤Ó£ÌÒ, - 
candycraftce:candied_cherry_leaf,ÃÛ½¤Ó£ÌÒÊ÷Ò¶, - 
candycraftce:candy_cane,¹ÕÕÈÌÇ, - 
candycraftce:caramel_bow,½¹ÌÇ¹­, - 
candycraftce:caramel_brick,½¹ÌÇ×©, - 
candycraftce:caramel_leaf,½¹ÌÇÊ÷Ò¶, - 
candycraftce:chewing_gum,¿ÚÏãÌÇ, - 
candycraftce:chewing_gum_emblem,¿ÚÏãÌÇ»ÕÕÂ, - 
candycraftce:chocolate_brick,ÇÉ¿ËÁ¦×©, - 
candycraftce:chocolate_coin,ÇÉ¿ËÁ¦±Ò, - 
candycraftce:chocolate_leaf,ÇÉ¿ËÁ¦Ê÷Ò¶, - 
candycraftce:cotton_candy,ÃŞ»¨ÌÇ, - 
candycraftce:cranberry_emblem,ÂûÔ½İ®»ÕÕÂ, - 
candycraftce:cranfish,ÂûÔ½İ®Óã, - 
candycraftce:cranfish_cooked,¿¾ÂûÔ½İ®Óã, - 
candycraftce:cranfish_scale,ÂûÔ½İ®ÓãÓãÁÛ, - 
candycraftce:fork,²æ×Ó, - 
candycraftce:gingerbread_emblem,½ª±ıÈË»ÕÕÂ, - 
candycraftce:gummy,ÈíÌÇ, - 
candycraftce:honeycomb,ÃÛÀ¯, - 
candycraftce:honeycomb_arrow,ÃÛÀ¯¼ı, - 
candycraftce:honeycomb_axe,ÃÛÀ¯¸«, - 
candycraftce:honeycomb_boots,ÃÛÀ¯Ñ¥×Ó, - 
candycraftce:honeycomb_chestplate,ÃÛÀ¯ĞØ¼×, - 
candycraftce:honeycomb_emblem,ÃÛÀ¯»ÕÕÂ, - 
candycraftce:honeycomb_helmet,ÃÛÀ¯Í·¿ø, - 
candycraftce:honeycomb_hoe,ÃÛÀ¯³ú, - 
candycraftce:honeycomb_leggings,ÃÛÀ¯»¤ÍÈ, - 
candycraftce:honeycomb_pickaxe,ÃÛÀ¯¸ä, - 
candycraftce:honeycomb_shard,ÃÛÀ¯ËéÆ¬, - 
candycraftce:honeycomb_shovel,ÃÛÀ¯ÇÂ, - 
candycraftce:honeycomb_sword,ÃÛÀ¯½£, - 
candycraftce:hot_gummy,ÊìÈíÌÇ, - 
candycraftce:iidebug,I °® DEBUG !!!, - 
candycraftce:jelly_boss_key,¹û¶³¹úÍõµÄÔ¿³×, - 
candycraftce:jelly_crown,¹û¶³¹úÍõµÄ»Ê¹Ú, - 
candycraftce:jelly_emblem,¹û¶³»ÕÕÂ, - 
candycraftce:jelly_sentry_key,¹û¶³ÊØÎÀµÄÔ¿³×, - 
candycraftce:licorice,ÑÎ¸Ê²İÌÇ, - 
candycraftce:licorice_axe,ÑÎ¸Ê²İÌÇ¸«, - 
candycraftce:licorice_boots,ÑÎ¸Ê²İÌÇÑ¥×Ó, - 
candycraftce:licorice_chestplate,ÑÎ¸Ê²İÌÇĞØ¼×, - 
candycraftce:licorice_helmet,ÑÎ¸Ê²İÌÇÍ·¿ø, - 
candycraftce:licorice_hoe,ÑÎ¸Ê²İÌÇ³ú, - 
candycraftce:licorice_leggings,ÑÎ¸Ê²İÌÇ»¤ÍÈ, - 
candycraftce:licorice_pickaxe,ÑÎ¸Ê²İÌÇ¸ä, - 
candycraftce:licorice_shovel,ÑÎ¸Ê²İÌÇÇÂ, - 
candycraftce:licorice_spear,item.candycraftce.licorice_spear, - 
candycraftce:licorice_sword,ÑÎ¸Ê²İÌÇ½£, - 
candycraftce:lollipop,°ô°ôÌÇ, - 
candycraftce:magical_leaf,Ä§·¨Ê÷Ò¶, - 
candycraftce:marshmallow_axe,ÃŞ»¨ÈíÌÇÄ¾¸«, - 
candycraftce:marshmallow_hoe,ÃŞ»¨ÈíÌÇÄ¾³ú, - 
candycraftce:marshmallow_pickaxe,ÃŞ»¨ÈíÌÇÄ¾¸ä, - 
candycraftce:marshmallow_shovel,ÃŞ»¨ÈíÌÇÄ¾ÇÂ, - 
candycraftce:marshmallow_stick,ÃŞ»¨ÈíÌÇÄ¾¹÷, - 
candycraftce:marshmallow_sword,ÃŞ»¨ÈíÌÇÄ¾½£, - 
candycraftce:nessie_emblem,ÄáË¹»ÕÕÂ, - 
candycraftce:nougat_powder,Å£ÔşÌÇ, - 
candycraftce:pez,Æ¤ÀñÊ¿ÌÇ, - 
candycraftce:pez_axe,Æ¤ÀñÊ¿ÌÇ¸«, - 
candycraftce:pez_boots,Æ¤ÀñÊ¿ÌÇÑ¥×Ó, - 
candycraftce:pez_chestplate,Æ¤ÀñÊ¿ÌÇĞØ¼×, - 
candycraftce:pez_dust,Æ¤ÀñÊ¿ÌÇ·Û, - 
candycraftce:pez_helmet,Æ¤ÀñÊ¿ÌÇÍ·¿ø, - 
candycraftce:pez_hoe,Æ¤ÀñÊ¿ÌÇ³ú, - 
candycraftce:pez_leggings,Æ¤ÀñÊ¿ÌÇ»¤ÍÈ, - 
candycraftce:pez_pickaxe,Æ¤ÀñÊ¿ÌÇ¸ä, - 
candycraftce:pez_shovel,Æ¤ÀñÊ¿ÌÇÇÂ, - 
